Name,SD,Rossi (2005),Chambers (2007),Noda (2009),Wahlestedt (2013),Beerman (2013),Sun (2014),Seka,Num Old Outliers
Selp,95.57426936,1,1,0,1,0,1,1,5
Klhl4,46.86122794,1,0,0,1,0,1,1,5
Enpp5,23.4669601,0,1,0,1,0,1,1,5
Gda,33.34389314,1,0,0,1,0,1,1,5
Plk2,41.51992829,0,0,1,1,0,1,1,5
Ramp2,22.82544745,0,1,0,1,0,1,1,5
Sult1a1,32.06335844,0,1,0,1,0,1,1,5
Cd34,17.23970042,0,0,0,1,0,1,1,5
Vldlr,51.20286035,1,1,0,1,0,1,1,5
Vwf,153.4990222,0,0,0,1,0,1,1,5
Cyp26b1,116.6566013,1,0,0,1,0,1,1,5
Clca1,85.04677053,1,0,0,0,0,0,0,5
Neo1,35.47816055,1,1,1,1,0,1,1,5
Sdpr,44.29037352,1,1,0,1,1,1,1,5
Cysltr2,68.19228675,1,0,1,1,0,1,1,5
Ehd3,36.71670198,1,1,0,1,0,1,1,5
Trim47,100.7791819,1,0,0,1,0,1,1,5
Nupr1,35.56730636,0,0,0,1,0,1,1,5
Hist1h1b,39.97597647,0,0,0,0,0,0,1,3
Itga6,107.1141074,1,1,0,1,0,1,1,4
Txnip,267.2361224,0,0,0,0,0,1,1,5
Dnm3,21.76715942,1,0,0,0,0,1,1,5
Pbx3,11.9942624,1,1,0,1,0,1,1,5
Mt1,43.76736418,0,1,1,1,0,1,1,5
Itgb3,40.71550025,0,0,0,1,0,1,1,5
Sbspon,20.86067607,0,0,0,0,0,0,1,5
Cd53,17.41922673,0,0,0,0,0,1,1,5
Alcam,67.27717053,1,1,0,1,1,1,1,4
Ezh1,43.91061398,0,0,0,1,0,1,1,5
Cpne8,5.220559837,0,0,0,1,1,1,1,5
Bcl3,18.27150518,1,1,0,1,0,1,1,5
Cldn5,14.04625058,1,0,0,1,0,1,1,5
Gstm2,8.060929454,0,1,0,1,0,1,1,5
Plscr2,21.7577023,1,1,0,1,0,1,1,5
Fyb,73.32521741,1,1,0,1,0,0,1,4
Exoc6b,26.26613578,0,0,0,1,0,1,1,5
Chrm3,23.65934693,0,0,0,0,0,1,1,5
Ptger4,39.94047422,0,1,1,1,0,1,1,2
Tmpo,28.66578677,0,0,0,0,0,0,1,5
Ly6e,45.1247626,0,0,0,0,0,1,1,5
Jam2,21.2041946,1,1,0,1,0,1,1,4
